Aidan Hawken,the sleep of trees,2007,cd,pop,
Aimee Mann,Bacherlor no. 2,1999,cd,pop,
Aimee Mann,Smilers,2008,cd,pop,
Airborne,Airborne,1979,cd,pomp rock,
Airplay,Airplay,1980,cd,westcoast,
Airplay,Airplay (JPN),1980,vinyl,westcoast,
Airsupply,Lost in love,1980,vinyl,pop,
Airsupply,The one that you love,1981,cd,westcoast,
Airsupply,Now and forever,1982,vinyl,westcoast,
Airsupply,The earth is..,1991,cd,westcoast,
Airsupply,Love songs,1992,cd,westcoast,
Airtraffic,Fractured Life,2007,cd,modern rock,
Al Jarreau,Breakin' Away,1981,cd,westcoast,
Aladdin,Aladdin,1992,cd,soundtrack,
Alan Case,Dark matter,1999,cd,prog,
Alan Parsons,The time machine,1999,cd,pop,
Alan Parsons,On Air,2014,vinyl,pomp rock,
Alan Parsons Project (the),Tales of mystery and imagination Edgar Allan Poe,1976,cd,pomp rock,
Alan Parsons Project (the),I Robot,1977,vinyl,pomp rock,
Alan Parsons Project (the),Eye in the sky,1983,cd,pomp rock,
